Code	Title	Final	Mid
AL801 	Software Design (Game Development or Cloud Computing) 	300 	340 
AL810 	Quantity Surveying 	315 	355 
AL820 	Mechanical and Polymer Engineering 	295 	340 
AL830 	General Nursing 	425* 	440 
AL831 	Mature Applicants General Nursing 	#181 	185 
AL832 	Psychiatric Nursing 	375* 	405 
AL833 	Mature Applicants Psychiatric Nursing 	#169 	173 
AL836 	Health Science with Nutrition 	350 	380 
AL837 	Sports Science with Exercise Physiology 	360 	385 
AL838 	Biotechnology 	270 	345 
AL840 	Pharmaceutical Science 	255 	290 
AL841 	Athletic and Rehabilitation Therapy 	410 	430 
AL842 	Bioveterinary Science 	325 	370 
AL843 	Physical Activity and Health 	345 	390 
AL850 	Business 	300 	365 
AL851 	Business and Law 	300 	345 
AL852 	Accounting (with optional placement) 	290 	335 
AL854 	Business Psychology 	305 	340 
AL860 	Social Care Practice 	300 	330 
AL861 	Animation and Illustration (Portfolio) 	#565 	835 
PC405 	Citizenship and Community Studies 	225 	300 
PC410 	Humanities 	280 	325 
PC411 	English and History 	300 	333 
CW 008 	Applied Humanities (Wexford) 	# 	
CW 018 	Business (Wexford) 	255 	345 
CW 028 	Early Childhood Education and Care (Wexford) 	265 	315 
CW 038 	Art (Wexford - Portfolio) 	#700 	700 
CW 068 	Applied Social Studies (Professional Social Care - Wexford) 	270 	355 
CW 078 	Sustainable Farm Management and Agribusiness (Wexford) 	320 	360 
CW 088 	Visual Communications and Design (Wexford) 	265 	300 
CW 098 	Culture and Heritage Studies (Wexford) 	310 	310 
CW 108 	Biosciences with Bioforensics or Biopharmaceuticals 	295 	375 
CW 168 	Environmental Science 	290 	300 
CW 178 	Sport Science 	410 	430 
CW 188 	Sports Rehabilitation and Athletic Therapy 	445 	460 
CW 198 	Strength and Conditioning 	400 	410 
CW 208 	Computer Games Development 	290 	355 
CW 238 	Software Development 	290 	335 
CW 248 	Computer Systems Management 	300 	340 
CW 258 	Cybercrime and IT Security 	315 	370 
CW 438 	Construction 	260 	290 
CW 468 	Architectural Technology 	270 	325 
CW 478 	Civil Engineering 	395 	430 
CW 548 	Mechanical Engineering 	335 	367 
CW 558 	Electronic Systems 	290 	330 
CW 568 	Aero Engineering 	395 	430 
CW 578 	TV and Media Production 	365 	380 
CW 708 	Law - LLB 	300 	345 
CW 728 	Product Design Innovation 	300 	350 
CW 748 	Early Childhood Education and Care 	270 	335 
CW 758 	Applied Social Studies (Professional Social Care) 	295 	339 
CW 788 	Youth and Community Work (Interview) 	#700 	700 
CW 808 	Media and Public Relations 	270 	345 
CW 858 	Sport Management and Coaching (Options: GAA, Rugby, Soccer - Portfolio) 	#700 	700 
CW 908 	Business 	270 	340 
CW 938 	Business with Law 	290 	335 
CW 948 	Accounting 	317 	365 
CR105 	Chemical and Biopharmaceutical Engineering 	430 	490 
CR106 	Software Development 	380 	400 
CR108 	Mechanical Engineering 	415 	490 
CR109 	Structural Engineering 	375 	450 
CR112 	Multimedia 	365 	400 
CR116 	Software Development and Computer Networking 	330 	365 
CR121 	Music at CIT Cork School of Music 	#620 	925 
CR125 	Popular Music: Electric Bass Guitar at CIT Cork School of Music 	#675 	740 
CR126 	Popular Music: Drums at CIT Cork School of Music 	#770 	1015 
CR127 	Popular Music: Electric Guitar at CIT Cork School of Music 	#680 	830 
CR128 	Popular Music: Keyboards at CIT Cork School of Music 	#795 	995 
CR129 	Popular Music: Voice at CIT Cork School of Music 	#890 	995 
CR150 	Business Information Systems 	385 	415 
CR210 	Contemporary Applied Art (Ceramics, Glass, Textiles) at Crawford College 	#1000 	1000 
CR220 	Fine Art at CIT Crawford College of Art and Design 	#710 	945 
CR305 	Physical Sciences (Common Entry) 	305 	350 
CR310 	IT Management 	320 	340 
CR312 	Web Development 	320 	344 
CR320 	Biomedical Science - Offered jointly by CIT and UCC 	545* 	570 
CR325 	Pharmaceutical Biotechnology 	360 	390 
CR330 	Herbal Science 	340 	375 
CR333 	Nutrition and Health Science 	380 	410 
CR335 	Biological Sciences (Common Entry) 	400 	420 
CR340 	Analytical Chemistry with Quality Assurance 	305 	380 
CR360 	Instrument Engineering 	300 	340 
CR365 	Environmental Science and Sustainable Technology 	310 	355 
CR400 	Accounting 	325 	375 
CR420 	Marketing 	320 	350 
CR425 	International Business with Language 	330 	385 
CR500 	Engineering (Common Entry) 	410 	440 
CR510 	Sustainable Energy 	310 	370 
CR520 	Biomedical Engineering 	430 	470 
CR560 	Architectural Technology 	300 	355 
CR565 	Interior Architecture 	315 	360 
CR570 	Quantity Surveying 	280 	350 
CR572 	Construction Management 	245 	315 
CR580 	Electrical Engineering 	315 	355 
CR590 	Electronic Engineering 	315 	375 
CR600 	Visual Communications 	#630 	885 
CR660 	Tourism 	265 	315 
CR700 	Theatre and Drama Studies at CIT Cork School of Music 	#650 	860 
CK101 	Arts - 3 years 	350 	395 
CK102 	Social Science 	420 	450 
CK104 	Arts with Music - 3 years or 4 years (BMus or International Pathway) 	#390 	465 
CK105 	Film and Screen Media - 3 years or 4 years (International Pathway) 	430 	465 
CK106 	Applied Psychology 	490 	525 
