Course Code 	INSTITUTION and COURSE 	Final 	Mid 
AL801 	Software Design (Game Development or Cloud Computing) 	290 	329 
AL810 	Quantity Surveying 	311 	357 
AL820 	Mechanical and Polymer Engineering 	300 	336 
AL830 	General Nursing 	398* 	418 
AL832 	Psychiatric Nursing 	378 	389 
AL836 	Health Science with Nutrition 	346 	367 
AL837 	Sports Science with Exercise Physiology 	354 	379 
AL838 	Biotechnology 	270 	338 
AL839 	Microbiology 	318 	371 
AL840 	Pharmaceutical Science 	257 	302 
AL841 	Athletic and Rehabilitation Therapy 	405 	429 
AL842 	Bioveterinary Science 	301 	358 
AL843 	Physical Activity and Health 	306 	327 
AL850 	Business 	296 	337 
AL851 	Business and Law 	300 	357 
AL852 	Accounting (with optional placement) 	293 	352 
AL853 	Accounting and Law 	308 	326 
AL854 	Business Psychology 	291 	347 
AL860 	Social Care Practice 	300 	338 
AL861 	Animation and Illustration (Portfolio and Interview Required) 	#605 	860 
CW 018 	Business (Wexford) 	255 	366 
CW 028 	Early Childhood Education and Care (Wexford) 	260 	306 
CW 038 	Art (Wexford - Portfolio) 	#700 	700 
CW 068 	Applied Social Studies - Professional Social Care (Wexford) 	270 	300 
CW 078 	Sustainable Farm Management and Agribusiness (Wexford) 	307 	348 
CW 088 	Visual Communications and Design (Wexford) 	264 	338 
CW 108 	Science 	295 	357 
CW 178 	Sport Science 	400 	426 
CW 188 	Sport Rehabilitation and Athletic Therapy 	441 	464 
CW 198 	Strength and Conditioning 	367 	397 
CW 208 	Computer Games Development 	290 	344 
CW 238 	Software Development 	290 	310 
CW 248 	Information Technology Management 	301 	352 
CW 258 	Cybercrime and IT Security 	309 	356 
CW 438 	Construction 	261 	300 
CW 468 	Architectural Technology 	261 	310 
CW 478 	Civil Engineering 	360 	435 
CW 548 	Mechanical Engineering 	301 	351 
CW 558 	Electronic Systems 	302 	361 
CW 568 	Aerospace Engineering 	365 	393 
CW 578 	TV and Media Production 	374 	393 
CW 708 	Law - LLB 	295 	326 
CW 728 	Product Design Innovation 	309 	358 
CW 748 	Early Childhood Education and Care 	280 	337 
CW 758 	Applied Social Studies - Professional Social Care 	290 	317 
CW 788 	Youth and Community Work (Interview) 	#700 	700 
CW 808 	Media and Public Relations 	271 	308 
CW 858 	Sport Management and Coaching (GAA/Rugby/Soccer - Portfolio) 	#700 	700 
CW 908 	Business 	270 	319 
CW 938 	Business with Law 	293 	341 
CW 948 	Accounting 	306 	382 
PC405 	Citizenship and Community Studies 	211 	271 
PC410 	Humanities 	179 	277 
PC411 	English and History 	211 	288 
CR105 	Chemical and Biopharmaceutical Engineering 	443 	509 
CR106 	Software Development 	357 	395 
CR108 	Mechanical Engineering 	422 	476 
CR109 	Structural Engineering 	326 	433 
CR112 	Creative Digital Media 	318 	359 
CR116 	Computer Systems 	351 	378 
CR121 	Music at CIT Cork School of Music 	#583 	1035 
CR125 	Popular Music: Electric Bass Guitar at CIT Cork School of Music 	#836 	836 
CR126 	Popular Music: Drums at CIT Cork School of Music 	#836 	920 
CR127 	Popular Music: Electric Guitar at CIT Cork School of Music 	#606 	920 
CR128 	Popular Music: Keyboards at CIT Cork School of Music 	#941 	1020 
CR129 	Popular Music: Voice at CIT Cork School of Music 	#564 	923 
CR150 	Business Information Systems 	356 	401 
CR210 	Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford 	#711 	893 
CR220 	Fine Art at CIT Crawford College of Art and Design 	#629 	889 
CR305 	Physical Sciences (Common Entry) 	319 	358 
CR310 	IT Management 	291 	327 
CR312 	Web Development 	300 	326 
CR320 	Biomedical Science - Offered jointly by CIT and UCC 	520 	540 
CR325 	Pharmaceutical Biotechnology 	383 	413 
CR330 	Herbal Science 	320 	358 
CR333 	Nutrition and Health Science 	349 	387 
CR335 	Biological Sciences (Common Entry) 	390 	429 
CR340 	Analytical Chemistry with Quality Assurance 	321 	367 
CR360 	Instrument Engineering 	301 	371 
CR365 	Environmental Science and Sustainable Technology 	323 	360 
CR400 	Accounting 	318 	371 
CR420 	Marketing 	306 	339 
CR425 	International Business with Language 	298 	396 
CR500 	Engineering (Common Entry) 	392 	441 
CR510 	Sustainable Energy Engineering 	317 	358 
CR520 	Biomedical Engineering 	444 	520 
CR560 	Architectural Technology 	276 	337 
CR565 	Interior Architecture 	306 	357 
CR570 	Quantity Surveying 	291 	341 
CR572 	Construction Management 	251 	308 
CR580 	Electrical Engineering 	330 	363 
CR590 	Electronic Engineering 	330 	359 
CR600 	Visual Communications 	#490 	836 
CR660 	Tourism Management 	254 	299 
CR700 	Theatre and Drama Studies at CIT Cork School of Music 	#879 	938 
CK101 	Arts 	330 	389 
CK102 	Social Science 	378 	424 
CK104 	Arts with Music 	#367 	451 
CK105 	Film and Screen Media 	422 	451 
CK106 	Applied Psychology 	499 	522 
CK107 	Geographical and Archaeological Sciences 	337 	367 
CK108 	Arts International 	466 	509 
CK109 	English 	420 	462 
CK110 	World Languages 	476 	510 
CK111 	Early Years and Childhood Studies 	377 	409 
CK112 	Drama and Theatre Studies 	#408 	466 
CK113 	Criminology 	412 	430 
CK114 	Social Science (Youth and Community Work) 	#777 	
CK115 	Social Work - Mature Applicants only 	999 	
CK116 	Sports Studies and Physical Education 	477 	506 
CK117 	Economics (through Transformational Learning) 	419 	435 
CK118 	Digital Humanities and Information Technology 	379 	402 
CK201 	Commerce 	455 	478 
CK202 	Accounting 	434 	487 
CK203 	Business Information Systems 	445 	478 
CK204 	Finance 	532 	555 
CK205 	Commerce (International) with French 	465 	509 
CK206 	Commerce (International) with German 	465 	508 
CK207 	Commerce (International) with Italian 	430 	442 
CK208 	Commerce (International) with Hispanic Studies 	451 	488 
CK209 	Commerce (International) with Irish 	478 	521 
CK210 	Government 	360 	423 
CK211 	Commerce (International) with Chinese Studies 	424 	444 
CK301 	Law (Pathways) 	475 	500 
CK302 	Law and French 	510 	522 
CK304 	Law and Irish 	496 	511 
CK307 	Law and Business 	543 	566 
CK401 	Computer Science 	419 	466 
CK402 	Biological and Chemical Sciences 	488 	520 
CK404 	Biological, Earth and Environmental Sciences 	435 	466 
CK405 	Genetics 	473 	488 
CK406 	Chemical Sciences 	477 	488 
CK407 	Mathematical Sciences 	554 	589 
CK408 	Physics and Astrophysics 	531 	577 
CK409 	Industrial Physics - Offered jointly by UCC and CIT 	445 	525 
CK502 	Food Marketing and Entrepreneurship 	440 	454 
CK504 	Nutritional Sciences 	484 	506 
CK505 	Food Science 	453 	476 
CK506 	International Development and Food Policy 	378 	409 
CK600 	Engineering 	443 	520 
CK606 	Architecture - Offered jointly by UCC and CIT 	435 	476 
