Code	Title	EOS	Mid
AL801 	Software Design (Game Development or Cloud Computing) 	295 	326
AL810 	Quantity Surveying 	300 	340
AL820 	Mechanical and Polymer Engineering 	299 	371
AL830 	General Nursing 	418 	440
AL832 	Psychiatric Nursing 	377 	388
AL836 	Health Science with Nutrition 	354 	389
AL837 	Sports Science with Exercise Physiology 	346 	369
AL838 	Biotechnology 	301 	338
AL839 	Microbiology 	318 	380
AL840 	Pharmaceutical Science 	312 	388
AL841 	Athletic and Rehabilitation Therapy 	402 	431
AL842 	Bioveterinary Science 	304 	367
AL843 	Physical Activity and Health Science 	317 	337
AL844 	Toxicology and Analytical Science 	337 	421
AL850 	Business 	308 	359
AL851 	Business and Law 	300 	359
AL852 	Accounting (with optional placement) 	306 	366
AL853 	Accounting and Law 	377 	397
AL855 	Hospitality Management (with International Placement) 	310 	337
AL860 	Social Care Practice 	300 	338
AL861 	Animation and Illustration (Portfolio /Interview Required) 	#789 	948
AL870 	Applied Psychology (4 year programme) 	366 	390
CW 018 	Business (with options - Wexford) 	250 	356
CW 028 	Early Childhood Education and Care (Wexford) 	249 	308
CW 038 	Art (Portfolio - Wexford) 	#700 	700
CW 068 	Applied Social Studies - Professional Social Care (Wexford) 	260 	287
CW 078 	Sustainable Farm Management and Agribusiness (Wexford) 	270 	324
CW 088 	Visual Communications and Design (Wexford) 	270 	327
CW 108 	Biosciences (with options) 	276 	329
CW 178 	Sport Science (with options) 	390 	412
CW 188 	Sport Rehabilitation and Athletic Therapy 	440 	464
CW 208 	Computer Games Development 	280 	347
CW 238 	Software Development 	298 	326
CW 248 	Information Technology Management 	288 	329
CW 258 	Cybercrime and IT Security 	290 	319
CW 438 	Construction (with options QSY/FBS) 	263 	303
CW 468 	Architectural Technology 	260 	317
CW 478 	Civil Engineering 	331 	372
CW 548 	Mechanical Engineering 	323 	352
CW 558 	Electronic Systems 	262 	323
CW 568 	Aerospace Engineering 	368 	412
CW 578 	TV and Media Production 	360 	388
CW 708 	Law - LLB 	298 	343
CW 728 	Product Design Innovation 	252 	330
CW 748 	Early Childhood Education and Care 	275 	308
CW 758 	Applied Social Studies - Professional Social Care 	270 	317
CW 808 	Media and Public Relations 	252 	336
CW 858 	Sport Management and Coaching (with options - Portfolio required) 	#700 	700
CW 908 	Business (with options) 	270 	307
CW 938 	Business with Law 	281 	338
CW 948 	Accounting 	307 	361
PC405 	Citizenship and Community Studies 	227 	255
PC410 	Humanities (fulfils Teaching Council requirements) 	219 	289
PC411 	English and History (fulfils Teaching Council requirements) 	228 	288
CR105 	Chemical and Biopharmaceutical Engineering 	444 	510
CR106 	Software Development 	350 	403
CR108 	Mechanical Engineering 	416 	490 
CR109 	Structural Engineering 	366 	466 
CR112 	Creative Digital Media 	336 	391 
CR116 	Computer Systems 	316 	347 
CR121 	Music at CIT Cork School of Music 	#628 	1016 
CR125 	Popular Music: Electric Bass Guitar at CIT Cork School of Music 	#836 	875 
CR126 	Popular Music: Drums at CIT Cork School of Music 	#697 	907 
CR127 	Popular Music: Electric Guitar at CIT Cork School of Music 	#704 	820 
CR128 	Popular Music: Keyboards at CIT Cork School of Music 	#708 	969 
CR129 	Popular Music: Voice at CIT Cork School of Music 	#607 	936 
CR150 	Business Information Systems 	316 	362 
CR210 	Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford 	#666 	833 
CR220 	Fine Art at CIT Crawford College of Art and Design 	#565 	877 
CR305 	Physical Sciences (Common Entry) 	320 	328 
CR310 	IT Management 	290 	342 
CR312 	Web Development 	290 	327 
CR320 	Biomedical Science - Offered jointly by CIT and UCC 	521* 	542 
CR325 	Pharmaceutical Biotechnology 	371 	409 
CR333 	Nutrition and Health Science 	350 	389 
CR335 	Biological Sciences (Common Entry) 	381 	419 
CR340 	Analytical Chemistry with Quality Assurance 	327 	357 
CR360 	Instrument Engineering 	297 	362 
CR365 	Environmental Science and Sustainable Technology 	307 	366 
CR400 	Accounting 	308 	377 
CR420 	Marketing 	288 	337 
CR425 	International Business with Language 	289 	369 
CR500 	Engineering (Common Entry) 	391 	434 
CR510 	Sustainable Energy Engineering 	300 	368 
CR520 	Biomedical Engineering 	433 	499 
CR560 	Architectural Technology 	273 	340 
CR565 	Interior Architecture 	302 	367 
CR570 	Quantity Surveying 	282 	351 
CR572 	Construction Management 	252 	299 
CR580 	Electrical Engineering 	300 	358 
CR590 	Electronic Engineering 	300 	372 
CR600 	Visual Communications 	#640 	935 
CR660 	Tourism Management 	225 	292 
CR700 	Theatre and Drama Studies at CIT Cork School of Music 	#703 	977 
CK101 	Arts - 3 years 	300 	368 
CK102 	Social Science 	387 	422 
CK104 	Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway) 	#368 	450 
CK105 	Film and Screen Media - 3 or 4 years (International Pathway) 	400 	462 
CK107 	Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway) 	318 	370 
CK108 	Arts International - 4 years 	423 	474 
CK109 	English - 3 years or 4 years (International Pathway) 	355 	419 
CK110 	World Languages 	452 	507 
CK111 	Early Years and Childhood Studies 	388 	421 
CK112 	Drama and Theatre Studies - 3 or 4 years (International Pathway) 	#334 	430 
CK113 	Criminology - 3 years or 4 years (International Pathway) 	413 	441 
CK114 	Social Science (Youth and Community Work) - 3 years 	#777 	
CK115 	Social Work - Mature Applicants only 	999 	
CK116 	Sports Studies and Physical Education 	487 	507 
CK117 	Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway) 	413 	444 
CK118 	Digital Humanities and IT - 3 or 4 years (Work Exp. or Int`l Pathway) 	338 	393 
CK120 	Applied Psychology 	485 	521 
CK121 	Psychology and Computing - 3 or 4 years (Work Experience Pathway) 	401 	445 
CK201 	Commerce 	456 	487 
CK202 	Accounting 	452 	498 
CK203 	Business Information Systems 	430 	466 
CK204 	Finance 	520 	554 
CK205 	Commerce (International) with French 	462 	495 
CK206 	Commerce (International) with German 	476 	509 
CK207 	Commerce (International) with Italian 	418 	434 
CK208 	Commerce (International) with Hispanic Studies 	441 	473 
CK209 	Commerce (International) with Irish 	485 	521 
CK210 	Government 	351 	412 
CK211 	Commerce (International) with Chinese Studies 	409 	444 
CK301 	Law (Pathways) - 3 or 4 years (Degree options) 	495 	517 
CK302 	Law and French 	542 	566 
CK304 	Law and Irish 	507 	532 
CK307 	Law and Business 	542 	567 
CK401 	Computer Science (Degree options) 	398 	436 
CK402 	Biological and Chemical Sciences (Degree options) 	487 	520 
CK404 	Biological, Earth and Environmental Sciences (Degree options) 	431 	462 
CK405 	Genetics 	476 	487 
CK406 	Chemical Sciences (Degree options) 	462 	477 
CK407 	Mathematical Sciences (Degree options) 	543 	578 
CK408 	Physics and Astrophysics (Degree options) 	521 	565 
CK409 	Industrial Physics - Offered jointly by UCC and CIT 	511 	531 
CK411 	Data Science and Analytics 	455 	509 
CK502 	Food Marketing and Entrepreneurship 	445 	473 
CK504 	Nutritional Sciences 	507 	520 
CK505 	Food Science 	447 	473 
CK506 	International Development and Food Policy 	367 	430 
CK600 	Engineering (Degree options) 	443 	521 
CK606 	Architecture - Offered jointly by UCC and CIT 	433 	476 
CK701 	Medicine (Undergraduate Entry) 	#729 	737 
CK702 	Dentistry 	589 	590 
CK703 	Pharmacy 	555 	567 
CK704 	Occupational Therapy 	522 	543 
CK705 	Speech and Language Therapy 	509* 	530 
CK706 	Public Health Sciences 	440 	473 
CK707 	Medical and Health Sciences 	531 	566 
CK710 	General Nursing 	440* 	473 
CK712 	Children`s and General Nursing (Integrated) 	510 	543 
CK720 	Mental Health Nursing 	414 	431 
CK730 	Intellectual Disability Nursing 	409* 	434 
CK740 	Midwifery 	440 	455 
CK791 	Medicine (Graduate Entry) 	#57* 	58 
AC120 	International Business 	269 	288 
AC137 	Liberal Arts 	219 	298 
CT125 	Information Technology 	263 	263 
CT325 	Business 	289 	289 
CM001 	Education - Primary Teaching 	462 	473 
CM002 	Education - Primary Teaching - Gaeltacht Applicants 	#434 	447 
CM010 	Education Studies 	326 	392 
CM020 	Early Childhood Education 	326 	356 
DB500 	Computing 	209 	243 
DB501 	Computing (Cloud Computing) 	276 	281 
DB502 	Computing (Data Analytics and Big Data) 	243 	243 
DB503 	Computing (Software Development) 	278 	308 
DB504 	Computing (Web and Mobile Technology) 		
DB512 	Business Studies 	236 	332 
DB514 	Business Studies (Law) 	200 	306 
DB515 	Business Studies (Human Resource Management) 	262 	280 
DB516 	Financial Services 	234 	270 
DB517 	Marketing (Event Management) 	223 	287 
DB518 	Marketing (Digital Media) 	230 	358 
DB520 	Business Studies (with work placement) 	243 	320 
DB521 	Accounting and Finance 	254 	295 
DB524 	Business Information Systems 		
DB525 	Marketing (Digital Media and Cloud Computing) 	230 	230 
DB526 	Business Information Systems (Cloud Computing) 	272 	291 
DB531 	Marketing 	230 	298 
DB562 	Psychology 	202 	300 
DB566 	Social Science 	210 	288 
DB567 	Film 	209 	294 
DB568 	Law 	203 	300 
DB569 	Business (Psychology) 	253 	295 
DC001 	Education - Early Childhood Education 	388 	418 
DC002 	Education - Primary Teaching 	464 	496 
DC003 	Education - Primary Teaching - Gaeltacht Applicants 	#424 	443 
DC004 	Education - Primary Teaching (Church of Ireland Centre formerly CICE) 	#397 	397 
DC009 	Arts (Joint Honours) - Humanities 	356 	399 
DC010 	Post Primary Teacher Education - Religious Education and English 	349 	419 
DC011 	Post Primary Teacher Education - Religious Education and History 	373 	409 
DC012 	Post Primary Teacher Education - Religious Education and Music 	#367 	410 
DC014 	BA in Jazz and Contemporary Music Performance (Audition) 	#248 	389 
DC110 	Business Studies International 	445 	475 
DC111 	Business Studies 	463 	484 
DC112 	Global Business (France) 	487 	510 
DC113 	Global Business (Germany) 	455 	499 
DC114 	Global Business (Spain) 	499 	543 
DC115 	Accounting and Finance 	480 	499 
DC116 	Global Business (USA) 	578 	589 
DC117 	Aviation Management / Aviation Management with Pilot Studies 	456 	487 
DC118 	Gnó agus Gaeilge / Business and Irish 	362 	403 
DC119 	Global Business (Canada) 	565 	566 
DC120 	Enterprise Computing 	354 	392 
DC121 	Computer Applications 	377 	418 
DC123 	Data Science 	476 	531 
DC126 	Actuarial Mathematics 	520 	544 
DC127 	Common Entry into Actuarial and Financial Mathematics 	509 	521 
DC131 	Communication Studies 	403 	462 
DC132 	Journalism 	400 	442 
DC133 	Multimedia 	410 	451 
DC155 	Applied Language and Translation Studies 	388 	442 
DC161 	Analytical Science 	455 	467 
DC162 	Chemical and Pharmaceutical Sciences 	476 	487 
DC166 	Environmental Science and Technology 	341 	392 
DC167 	Physics with Astronomy 	444 	477 
DC168 	Genetics and Cell Biology 	487 	498 
DC171 	Applied Physics 	413 	465 
DC173 	Physics with Biomedical Sciences 	466 	487 
DC181 	Biotechnology 	476 	500 
DC190 	Electronic and Computer Engineering (choice of four majors) 	393 	476 
DC193 	Mechatronic Engineering 	403 	487 
DC195 	Mechanical and Manufacturing Engineering 	400 	445 
DC197 	Biomedical Engineering 	402 	458 
DC200 	Common Entry into Engineering (Undenominated Entry) 	382 	455 
DC201 	Common Entry into Science (Undenominated Entry) 	476 	489 
DC202 	Sport Science and Health 	473 	487 
DC203 	Science Education 	422 	455 
DC204 	Athletic Therapy and Training 	498 	521 
DC205 	Physical Education with Biology 	511 	530 
DC206 	Physical Education with Mathematics 	487 	509 
DC208 	Psychology 	488 	509 
DC209 	Health and Society 	430 	465 
DC215 	General Nursing 	420 	434 
DC216 	Mental Health Nursing 	380 	389 
DC217 	Intellectual Disability Nursing 	366 	378 
DC218 	Children`s and General Nursing (Integrated) 	473 	488 
DC230 	Economics, Politics and Law 	400 	431 
DC231 	International Relations 	400 	452 
DC232 	Law and Society (BCL) 	455 	477 
DC235 	Education and Training - Daytime Delivery Mode 	306 	346 
DC238 	Social Sciences and Cultural Innovation 	366 	388 
DC239 	Gaeilge agus Iriseoireacht/Irish and Journalism 	350 	425 
DC240 	Marketing, Innovation and Technology 	451 	476 
DC291 	Arts (Joint Honours) - Media Studies 	354 	398 
DC292 	Arts (Joint Honours) - Law 	351 	389 
DC293 	Arts (Joint Honours) - International Languages 	358 	429 
DC295 	Arts (Joint Honours) - Politics 	350 	390 
DT001 	Product Design 	441 	466 
DT028 	Transport Operations and Technology 	264 	327 
DT035 	Electrical Services and Energy Management 	289 	329 
DT066 	Engineering (General Entry) 	372 	444 
DT101 	Architecture (Test and Interview) 	#616 	643 
DT106 	Planning and Environmental Management 	290 	330 
DT110 	Property Economics 	381 	420 
DT111 	Quantity Surveying and Construction Economics 	377 	409 
DT112 	Geographic Science 	282 	338 
DT117 	Construction Management 	346 	371 
DT175 	Architectural Technology 	358 	401 
DT201 	Science (General Entry) 	456 	466 
DT203 	Forensic and Environmental Chemistry 	326 	382 
DT204 	Biomedical Science 	498 	510 
DT205 	Mathematical Sciences 	297 	375 
DT206 	Biomedical and Molecular Diagnostics 	445 	462 
DT211 	Computer Science (Infrastructure) 	356 	392 
DT220 	Industrial Mathematics 	250 	362 
DT221 	Physics with Energy and Environment 	323 	378 
DT222 	Physics Technology 	306 	402 
DT223 	Human Nutrition and Dietetics 	556 	567 
DT224 	Optometry 	475 	489 
DT225 	Public Health Nutrition 	455 	473 
DT227 	Science with Nanotechnology 	309 	361 
DT228 	Computer Science 	434 	462 
DT229 	Clinical Measurement Science 	454 	478 
DT235 	Physics with Medical Physics and Bioengineering 	361 	420 
DT255 	Information Systems and IT (Leaving Certificate 3 Years Prior) 	309 	330 
DT282 	Computer Science (International) 	350 	387 
DT299 	Chemical Sciences with Medicinal Chemistry 	441 	465 
DT302 	Business Analytics 	330 	391 
DT304 	E-Commerce in Retailing 	351 	388 
DT321 	Business and Law 	463 	476 
DT341 	Marketing 	408 	424 
DT343 	Retail and Services Management 	301 	336 
DT354 	Business Computing 	341 	369 
DT358 	Logistics and Supply Chain Management 	316 	349 
DT365 	Business and Management 	445 	463 
DT366 	Accounting and Finance 	440 	462 
DT398 	Human Resource Management 	375 	409 
DT399 	Economics and Finance 	443 	462 
DT401 	International Hospitality Management 	304 	338 
DT405 	Culinary Science 	308 	399 
DT407 	Culinary Arts 	280 	339 
DT412 	Tourism Marketing 	280 	319 
DT413 	Event Management 	357 	388 
DT416 	Culinary Entrepreneurship 	280 	342 
DT420 	Nutraceuticals in Health and Nutrition 	401 	434 
DT421 	Food Innovation 	326 	371 
DT422 	Pharmaceutical Healthcare 	397 	424 
DT491 	Environmental Health 	305 	378 
DT501 	Music 	#415 	545 
DT504 	Film and Broadcasting 	445 	468 
DT506 	Commercial Modern Music 	#540 	836 
DT508 	Game Design 	387 	420 
DT517 	Languages and English Studies 	283 	388 
DT518 	Languages and International Tourism 	298 	345 
DT529 	Drama (Performance) 	#372 	489 
DT532 	Law (LL.B.) 	419 	441 
DT533 	Contemporary Visual Culture 	272 	326 
DT544 	Interior Design 	#730 	888 
DT545 	Design - Visual Communication 	#880 	950 
DT546 	Fine Art 	#628 	762 
DT555 	International Business and Languages 	350 	411 
DT559 	Photography 	#660 	870 
DT571 	Social Care 	377 	409 
DT572 	Early Childhood Education 	366 	389 
DT582 	Journalism 	346 	377 
DT596 	Print Media Technology and Management 	226 	293 
DT597 	Creative and Cultural Industries 	279 	326 
DL821 	English, Media and Cultural Studies 	226 	340 
DL822 	Arts Management 	193 	298 
DL823 	Business Studies - Entrepreneurship and Management 	214 	297 
DL825 	Applied Psychology 	371 	411 
DL826 	Visual Communication Design 	#988 	1045 
DL827 	Art 	#549 	773 
DL828 	3D Design, Modelmaking and Digital Art 	#597 	853 
DL829 	Design for Stage and Screen (Costume Design) 	#597 	799 
DL830 	Design for Stage and Screen (Makeup Design) 	#577 	920 
DL831 	Design for Stage and Screen (Production Design) 	#944 	977 
DL832 	Animation 	#929 	1044 
DL833 	Photography 	#566 	812 
DL834 	Film and Television Production 	#942 	1004 
DL835 	Creative Media Technology 	226 	291 
DL836 	Creative Computing 	200 	318 
DL837 	New Media Studies 	306 	347 
DL838 	Creative Music Production 	#856 	925 
GC200 	Business Studies (Cork) 	263 	361 
GC201 	Accounting and Finance (Cork) 	265 	388 
GC230 	Computing Science (Cork) 	256 	297 
GC300 	Business Studies (Limerick) 	290 	399 
GC302 	Business Studies (HRM - Limerick) 		
GC305 	International Hospitality Management (Limerick) 	258 	300 
GC400 	Business Studies (Dublin) 	254 	326 
GC401 	Accounting and Finance (Dublin) 	218 	312 
GC402 	Business Studies (HRM - Dublin) 	262 	320 
GC403 	Law (Dublin) 	218 	297 
GC405 	International Hospitality Management (Dublin) 	244 	297 
